vote_average,vote_count,revenue,runtime,adult,popularity,title_length,budget,sentiment_cluster,num_production_countries,is_produced_in_US,num_spoken_languages,is_spoken_in_English,lang_en,lang_fr,lang_es,release_month,release_Friday,release_Monday,release_Saturday,release_Sunday,release_Thursday,release_Tuesday,release_Wednesday,release_1910s,release_1920s,release_1930s,release_1940s,release_1950s,release_1960s,release_1970s,release_1980s,release_1990s,release_2000s,release_2010s,release_2020s,season_Fall,season_Spring,season_Summer,season_Winter,num_genres_list,genres_list__Action_,genres_list__Adventure_,genres_list__Animation_,genres_list__Comedy_,genres_list__Crime_,genres_list__Documentary_,genres_list__Drama_,genres_list__Family_,genres_list__Fantasy_,genres_list__History_,genres_list__Horror_,genres_list__Music_,genres_list__Mystery_,genres_list__Romance_,genres_list__Science_Fiction_,genres_list__Thriller_,genres_list__War_,genres_list__Western_,revenue_log,runtime_log,popularity_log,budget_log,num_genres_list_log,num_production_countries_log,num_spoken_languages_log,title_length_log,vote_average_category
8.368,19403,327311859.0,127,0,53.521,5,33000000.0,1,1,1,1,1,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,19.606423974684137,4.852030263919617,3.998585948553005,17.312018149733785,3.4965075614664802,0.6931471805599453,0.6931471805599453,1.791759469228055,2
7.816,19287,895921036.0,157,0,134.276,35,150000000.0,1,2,1,2,1,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.61336283870746,5.062595033026967,4.907317135850395,18.826145858727198,3.2188758248682006,1.0986122886681096,1.0986122886681096,3.58351893845611,1
7.794,19233,655011224.0,143,0,80.509,54,140000000.0,0,1,1,1,1,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,34,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.30016293085726,4.969813299576001,4.4007134435977875,18.757152987716434,3.5553480614894135,0.6931471805599453,0.6931471805599453,4.007333185232471,1
8.105,19183,1341511219.0,130,0,110.974,44,125000000.0,1,2,1,1,1,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.017062591566873,4.875197323201151,4.718266701488628,18.643824303266577,3.2188758248682006,1.0986122886681096,0.6931471805599453,3.8066624897703196,2
8.204,19155,775398007.0,121,0,88.559,9,11000000.0,2,1,1,1,1,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.468887014201155,4.804021044733257,4.494897625969244,16.213405921671733,3.7612001156935624,0.6931471805599453,0.6931471805599453,2.302585092994046,2
7.236,18954,822854286.0,141,0,54.628,12,149000000.0,1,1,1,2,1,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,34,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.528289691933153,4.955827057601261,4.018686671616364,18.819456870621142,3.5553480614894135,0.6931471805599453,1.0986122886681096,2.5649493574615367,1
7.949,18857,735099082.0,96,0,90.968,2,175000000.0,2,1,1,1,1,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,46,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.41551585489421,4.574710978503383,4.52144069045656,18.980296537602072,3.8501476017100584,0.6931471805599453,0.6931471805599453,1.0986122886681096,1
7.082,18730,519311965.0,117,0,37.692,7,130000000.0,2,1,1,1,1,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.06801535110636,4.770684624465665,3.6556328603203005,18.683045016112164,3.7612001156935624,0.6931471805599453,0.6931471805599453,2.0794415416798357,1
8.707,18677,245066411.0,175,0,158.448,13,6000000.0,1,1,1,3,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,18,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19.31703980116409,5.170483995038151,5.071717850260437,15.607270193858982,2.9444389791664403,0.6931471805599453,1.3862943611198906,2.639057329615259,2
7.678,18525,630600000.0,141,0,76.0,11,108000000.0,1,2,1,2,1,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,41,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20.262182306661025,4.955827057601261,4.343805421853684,18.497641794347754,3.7376696182833684,1.0986122886681096,1.0986122886681096,2.4849066497880004,1
